標準報酬_等級,標準報酬_月額,報酬月額_以上,報酬月額_未満,介護保険の被保険者でない場合_全額,介護保険の被保険者でない場合_折半額,介護保険の被保険者でない場合_控除額,介護保険の被保険者の場合_全額,介護保険の被保険者の場合_折半額,介護保険の被保険者の場合_控除額
1,58000,,63000.0,5800.0,2900.0,2900,6855.6,3427.8,3428
2,68000,63000.0,73000.0,6800.0,3400.0,3400,8037.6,4018.8,4019
3,78000,73000.0,83000.0,7800.0,3900.0,3900,9219.6,4609.8,4610
4,88000,83000.0,93000.0,8800.0,4400.0,4400,10401.6,5200.8,5201
5,98000,93000.0,101000.0,9800.0,4900.0,4900,11583.6,5791.8,5792
6,104000,101000.0,107000.0,10400.0,5200.0,5200,12292.8,6146.4,6146
7,110000,107000.0,114000.0,11000.0,5500.0,5500,13002.0,6501.0,6501
8,118000,114000.0,122000.0,11800.0,5900.0,5900,13947.6,6973.8,6974
9,126000,122000.0,130000.0,12600.0,6300.0,6300,14893.2,7446.6,7447
10,134000,130000.0,138000.0,13400.0,6700.0,6700,15838.8,7919.4,7919
11,142000,138000.0,146000.0,14200.0,7100.0,7100,16784.4,8392.2,8392
12,150000,146000.0,155000.0,15000.0,7500.0,7500,17730.0,8865.0,8865
13,160000,155000.0,165000.0,16000.0,8000.0,8000,18912.0,9456.0,9456
14,170000,165000.0,175000.0,17000.0,8500.0,8500,20094.0,10047.0,10047
15,180000,175000.0,185000.0,18000.0,9000.0,9000,21276.0,10638.0,10638
16,190000,185000.0,195000.0,19000.0,9500.0,9500,22458.0,11229.0,11229
17,200000,195000.0,210000.0,20000.0,10000.0,10000,23640.0,11820.0,11820
18,220000,210000.0,230000.0,22000.0,11000.0,11000,26004.0,13002.0,13002
19,240000,230000.0,250000.0,24000.0,12000.0,12000,28368.0,14184.0,14184
20,260000,250000.0,270000.0,26000.0,13000.0,13000,30732.0,15366.0,15366
21,280000,270000.0,290000.0,28000.0,14000.0,14000,33096.0,16548.0,16548
22,300000,290000.0,310000.0,30000.0,15000.0,15000,35460.0,17730.0,17730
23,320000,310000.0,330000.0,32000.0,16000.0,16000,37824.0,18912.0,18912
24,340000,330000.0,350000.0,34000.0,17000.0,17000,40188.0,20094.0,20094
25,360000,350000.0,370000.0,36000.0,18000.0,18000,42552.0,21276.0,21276
26,380000,370000.0,395000.0,38000.0,19000.0,19000,44916.0,22458.0,22458
27,410000,395000.0,425000.0,41000.0,20500.0,20500,48462.0,24231.0,24231
28,440000,425000.0,455000.0,44000.0,22000.0,22000,52008.0,26004.0,26004
29,470000,455000.0,485000.0,47000.0,23500.0,23500,55554.0,27777.0,27777
30,500000,485000.0,515000.0,50000.0,25000.0,25000,59100.0,29550.0,29550
31,530000,515000.0,545000.0,53000.0,26500.0,26500,62646.0,31323.0,31323
32,560000,545000.0,575000.0,56000.0,28000.0,28000,66192.0,33096.0,33096
33,590000,575000.0,605000.0,59000.0,29500.0,29500,69738.0,34869.0,34869
34,620000,605000.0,635000.0,62000.0,31000.0,31000,73284.0,36642.0,36642
35,650000,635000.0,665000.0,65000.0,32500.0,32500,76830.0,38415.0,38415
36,680000,665000.0,695000.0,68000.0,34000.0,34000,80376.0,40188.0,40188
37,710000,695000.0,730000.0,71000.0,35500.0,35500,83922.0,41961.0,41961
38,750000,730000.0,770000.0,75000.0,37500.0,37500,88650.0,44325.0,44325
39,790000,770000.0,810000.0,79000.0,39500.0,39500,93378.0,46689.0,46689
40,830000,810000.0,855000.0,83000.0,41500.0,41500,98106.0,49053.0,49053
41,880000,855000.0,905000.0,88000.0,44000.0,44000,104016.0,52008.0,52008
42,930000,905000.0,955000.0,93000.0,46500.0,46500,109926.0,54963.0,54963
43,980000,955000.0,1005000.0,98000.0,49000.0,49000,115836.0,57918.0,57918
44,1030000,1005000.0,1055000.0,103000.0,51500.0,51500,121746.0,60873.0,60873
45,1090000,1055000.0,1115000.0,109000.0,54500.0,54500,128838.0,64419.0,64419
46,1150000,1115000.0,1175000.0,115000.0,57500.0,57500,135930.0,67965.0,67965
47,1210000,1175000.0,1235000.0,121000.0,60500.0,60500,143022.0,71511.0,71511
48,1270000,1235000.0,1295000.0,127000.0,63500.0,63500,150114.0,75057.0,75057
49,1330000,1295000.0,1355000.0,133000.0,66500.0,66500,157206.0,78603.0,78603
50,1390000,1355000.0,,139000.0,69500.0,69500,164298.0,82149.0,82149
